repeat	subject_type	subject_id	source_rich_table	smpl	org	genomes	iter	rank	TAREAN_annotation	cons_len	size_pct	pdiv_mean	pdiv_median	pdiv_q05	pdiv_q95
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	1	Putative satellites (high confidence)	118	0.41	10.184466019417476	9.85	3.5	18.4
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL144_TR_1_x_119nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	1	Putative satellites (high confidence)	119	0.14	10.024285714285716	8.3	0.935	23.75
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL130_TR_1_x_338nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	338	0.1	9.174	9.3	4.945	14.079999999999997
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL162_TR_1_x_184nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	184	0.09	10.469767441860466	9.7	1.32	20.41
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL193_TR_1_x_44nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	44	0.12	5.563793103448275	4.5	0.0	13.599999999999998
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL196_TR_1_x_369nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	369	0.05	5.030434782608696	4.2	0.95	11.749999999999996
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL58_TR_1_x_504nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	504	0.39	11.38871794871795	8.7	1.8800000000000003	26.90999999999999
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL94_TR_1_x_74nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	2	Putative satellites (low confidence)	74	0.28	7.070422535211268	6.8	0.0700000000000009	14.45999999999999
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=3|ORIG=CL25_TR_1_x_551nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	3	Putative satellites (low confidence)	551	0.53	10.80380228136882	9.3	2.7	21.09
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=4|ORIG=CL131_TR_1_x_411nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		1	4	Putative satellites (low confidence)	411	0.11	8.42280701754386	5.4	0.0	20.56
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		2	1	Putative satellites (high confidence)	118	0.8	10.04364089775561	9.0	3.1	18.8
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=1|ORIG=CL50_TR_1_x_510nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		2	1	Putative satellites (high confidence)	510	0.04	8.511111111111111	6.8	3.01	23.645
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=2|ORIG=CL108_TR_1_x_323nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		2	2	Putative satellites (low confidence)	323	0.05	10.44	11.6	3.34	15.839999999999998
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=2|ORIG=CL33_TR_1_x_90nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		2	2	Putative satellites (low confidence)	90	0.05	10.153846153846152	8.9	4.2	22.1
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		3	1	Putative satellites (high confidence)	118	0.81	10.44579207920792	9.7	4.715000000000001	18.0
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=1|ORIG=CL95_TR_1_x_86nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		3	1	Putative satellites (high confidence)	86	0.04	6.872222222222223	6.9	1.955	11.189999999999998
SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=3|ORIG=CL9_TR_1_x_506nt	sample	KA3	projects/triticeae_F21FTSEUHT1241/samples/KA3/post_tarean/satminer/report/rich_table.tsv	KA3	Aegilops_kotschyi		3	3	Putative satellites (low confidence)	506	0.03	10.905882352941177	6.2	3.26	31.24
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL146_TR_1_x_324nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	324	0.03	7.10625	6.45	0.0	17.375
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL199_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	118	0.17	23.36744186046512	26.6	7.500000000000001	33.3
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL35_TR_1_x_118nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	118	0.21	7.576699029126213	5.9	0.9	22.87999999999996
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL56_TR_1_x_553nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	1	Putative satellites (high confidence)	553	0.36	3.920670391061453	3.6	0.0	8.1
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL143_TR_1_x_44nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	44	0.21	4.778095238095238	4.5	2.3	10.979999999999992
SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL164_TR_1_x_319nt	sample	KA4	projects/triticeae_F21FTSEUHT1241/samples/KA4/post_tarean/satminer/report/rich_table.tsv	KA4	Aegilops_caudata_markgrafii		1	2	Putative satellites (low confidence)	319	0.08	9.857142857142858	7.05	0.0350000000000001	29.665
